data,genero,localidade,salario
**/06/1982,Female,"Stockholm, Stockholm, Sweden",$6525.14
**/06/1982,Female,"Stockholm, Stockholm, Sweden",$2282.24
**/02/1997,Male,"**, Porto, Portugal",$2932.96
**/02/1997,Male,"**, Porto, Portugal",$4472.72
**/02/2010,Male,"**, Île-de-France, France",$1348.85
**/02/2010,Male,"**, Île-de-France, France",$7109.56
**/03/1995,Female,"**, Aquitaine, France",$5475.66
**/03/1995,Female,"**, Aquitaine, France",$3531.22
**/04/1981,Female,"**, Île-de-France, France",$2654.98
**/04/1981,Female,"**, Île-de-France, France",$3435.34
**/04/1991,Male,"**, Stockholm, Sweden",$4912.45
**/04/1991,Male,"**, Stockholm, Sweden",$4176.07
**/05/1985,Male,"**, Île-de-France, France",$6939.54
**/05/1985,Male,"**, Île-de-France, France",$3752.70
**/08/2003,Female,"**, Languedoc-Roussillon, France",$3478.88
**/08/2003,Female,"**, Languedoc-Roussillon, France",$1336.07
**/08/2003,Male,"**, Lisboa, Portugal",$2866.63
**/08/2003,Male,"**, Lisboa, Portugal",$7660.68
**/08/2007,Female,"**, Île-de-France, France",$3525.88
**/08/2007,Female,"**, Île-de-France, France",$5163.00
**/10/1993,Female,"**, Île-de-France, France",$6649.25
**/10/1993,Female,"**, Île-de-France, France",$6294.64
**/12/1984,Female,"**, Västra Götaland, Sweden",$2350.70
**/12/1984,Female,"**, Västra Götaland, Sweden",$5701.55
**/12/1986,Female,"**, Île-de-France, France",$2918.64
**/12/1986,Female,"**, Île-de-France, France",$7474.04
**/12/2006,Female,"**, Île-de-France, France",$2561.84
**/12/2006,Female,"**, Île-de-France, France",$5352.76
**/**/1981,Female,"**, Coimbra, Portugal",$4450.49
**/**/1981,Female,"**, Coimbra, Portugal",$5847.43
**/**/1981,Female,"**, Porto, Portugal",$7847.46
**/**/1981,Female,"**, Porto, Portugal",$7548.51
**/**/1981,Male,"**, Alsace, France",$4263.66
**/**/1981,Male,"**, Alsace, France",$6987.28
**/**/1981,Male,"**, Massachusetts, United States",$5002.09
**/**/1981,Male,"**, Massachusetts, United States",$6189.32
**/**/1981,Male,"**, Texas, United States",$4000.92
**/**/1981,Male,"**, Texas, United States",$6749.17
**/**/1982,Female,"**, Porto, Portugal",$6369.60
**/**/1982,Female,"**, Porto, Portugal",$1708.14
**/**/1982,Female,"**, Québec, Canada",$3027.02
**/**/1982,Female,"**, Québec, Canada",$5074.78
**/**/1982,Female,"**, Skåne, Sweden",$4407.88
**/**/1982,Female,"**, Skåne, Sweden",$1322.83
**/**/1983,Female,"**, Leiria, Portugal",$4776.95
**/**/1983,Female,"**, Leiria, Portugal",$3229.72
**/**/1983,Female,"**, Stockholm, Sweden",$5412.88
**/**/1983,Female,"**, Stockholm, Sweden",$3246.27
**/**/1983,Male,"**, Stockholm, Sweden",$7922.29
**/**/1983,Male,"**, Stockholm, Sweden",$2282.26
**/**/1983,Male,"**, Île-de-France, France",$1020.66
**/**/1983,Male,"**, Île-de-France, France",$6946.23
**/**/1983,Male,"**, Île-de-France, France",$5521.83
**/**/1984,Female,"**, Provence-Alpes-Côte d'Azur, France",$6860.11
**/**/1984,Female,"**, Provence-Alpes-Côte d'Azur, France",$5814.99
**/**/1984,Female,"**, Viana do Castelo, Portugal",$5788.73
**/**/1984,Female,"**, Viana do Castelo, Portugal",$7319.09
**/**/1984,Female,"**, Île-de-France, France",$5823.97
**/**/1984,Female,"**, Île-de-France, France",$1246.34
**/**/1984,Male,"**, Braga, Portugal",$1558.87
**/**/1984,Male,"**, Braga, Portugal",$2558.30
**/**/1984,Male,"**, Québec, Canada",$5790.08
**/**/1984,Male,"**, Québec, Canada",$6662.13
**/**/1984,Male,"**, Setúbal, Portugal",$2661.36
**/**/1984,Male,"**, Setúbal, Portugal",$4443.31
**/**/1985,Female,"**, Jönköping, Sweden",$4733.60
